,station_id,weekend,rain,temp_class,North Hollywood,Port of LA,DTLA,total_trip,stat_name,lat,long,walk_score,transit_score,bike_score,dregioncenter,trip_log
160,3030,0,0,2.0,0,0,1,614,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,2.788168371141168
161,3030,0,1,0.0,0,0,1,24,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,1.380211241711606
162,3030,0,1,1.0,0,0,1,11,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,1.0413926851582251
163,3030,1,0,0.0,0,0,1,27,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,1.4313637641589874
164,3030,1,0,1.0,0,0,1,147,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,2.167317334748176
165,3030,1,0,2.0,0,0,1,30,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,1.4771212547196624
166,3031,0,0,0.0,0,0,1,422,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,2.625312450961674
167,3031,0,0,1.0,0,0,1,1068,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,3.0285712526925375
168,3031,0,0,2.0,0,0,1,319,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,2.503790683057181
169,3031,0,1,0.0,0,0,1,15,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,1.1760912590556813
170,3031,0,1,1.0,0,0,1,3,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,0.47712125471966244
171,3031,1,0,0.0,0,0,1,149,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,2.173186268412274
172,3031,1,0,1.0,0,0,1,367,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,2.5646660642520893
173,3031,1,0,2.0,0,0,1,98,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,1.9912260756924949
174,3031,1,1,0.0,0,0,1,6,7th & Spring,34.044701,-118.25244099999999,99,100.0,93,0.0186,0.7781512503836436
175,3032,0,0,0.0,0,0,1,161,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,2.2068258760318495
176,3032,0,0,1.0,0,0,1,616,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,2.7895807121644256
177,3032,0,0,2.0,0,0,1,187,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,2.271841606536499
178,3032,0,1,0.0,0,0,1,8,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,0.9030899869919435
179,3032,0,1,1.0,0,0,1,4,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,0.6020599913279624
180,3032,1,0,0.0,0,0,1,32,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,1.505149978319906
181,3032,1,0,1.0,0,0,1,122,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,2.0863598306747484
182,3032,1,0,2.0,0,0,1,32,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,1.505149978319906
183,3032,1,1,0.0,0,0,1,1,Hope & 6th,34.049889,-118.255882,98,100.0,85,0.0131,0.0
184,3033,0,0,0.0,0,0,1,109,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,2.037426497940624
185,3033,0,0,1.0,0,0,1,380,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,2.57978359661681
186,3033,0,0,2.0,0,0,1,101,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,2.0043213737826426
187,3033,0,1,0.0,0,0,1,5,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,0.6989700043360189
188,3033,0,1,1.0,0,0,1,3,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,0.47712125471966244
189,3033,1,0,0.0,0,0,1,33,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,1.5185139398778875
190,3033,1,0,1.0,0,0,1,91,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,1.9590413923210936
191,3033,1,0,2.0,0,0,1,21,Main & 9th,34.040989,-118.255798,97,100.0,94,0.0185,1.3222192947339193
192,3034,0,0,0.0,0,0,1,184,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,2.2648178230095364
193,3034,0,0,1.0,0,0,1,522,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,2.717670503002262
194,3034,0,0,2.0,0,0,1,131,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,2.1172712956557644
195,3034,0,1,0.0,0,0,1,6,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,0.7781512503836436
196,3034,0,1,1.0,0,0,1,1,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,0.0
197,3034,1,0,0.0,0,0,1,32,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,1.505149978319906
198,3034,1,0,1.0,0,0,1,126,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,2.100370545117563
199,3034,1,0,2.0,0,0,1,22,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,1.3424226808222062
200,3034,1,1,0.0,0,0,1,1,Hope & 11th,34.042061,-118.26338200000001,93,100.0,83,0.0136,0.0
